,kuebel_eintrag_id,log_id,kuebel_art_id,sonstiges_h,reinigung_h,waschen_h,waschen_count,instandh_h,instandh_count,zerlegen_h,zerlegen_count,name,mitarbeiter_id,user_id_step2,tank_session_id,comments,created_at,username,tank_id,fahrzeug_id,amount_fuel,laufzeit,fahrzeug_name,bereich,kostenstelle,user_id_tank_fahrzeug,daten_eingabe_von,created_at_tank
13,14,7,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
14,15,7,4,0.0,0.25,0.0,0,0.0,0,0.0,0,770 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
15,16,7,5,0.0,0.25,0.0,0,0.0,0,0.0,0,1100 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
16,17,7,6,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 60 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
17,18,7,7,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 200 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
18,19,7,8,0.0,0.25,0.0,0,0.0,0,0.0,0,Tankpaletten,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
19,20,7,9,0.0,0.25,0.0,0,0.0,0,0.0,0,Altöltank,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
20,21,7,10,0.0,0.25,0.0,0,0.0,0,0.0,0,ASP,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
21,22,7,11,0.0,0.25,0.0,0,0.0,0,0.0,0,ASF,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
22,23,8,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,4,1,,,2025-05-09 08:25:35.500749+00:00,admin,,,,,,,,,,
23,24,8,3,0.0,0.5,0.0,0,0.0,0,0.0,0,660 L,4,1,,,2025-05-09 08:25:35.500749+00:00,admin,,,,,,,,,,
24,25,8,6,0.0,0.0,0.5,0,0.0,0,0.0,0,Fässer 60 L,4,1,,,2025-05-09 08:25:35.500749+00:00,admin,,,,,,,,,,
25,26,9,9,0.0,0.0,1.0,1,1.0,0,0.0,0,Altöltank,5,1,,in admin angelegt,2025-04-01 07:17:00+00:00,admin,,,,,,,,,,
26,27,9,1,0.0,0.0,0.5,0,0.0,0,0.0,0,120 L,5,1,,in admin angelegt,2025-04-01 07:17:00+00:00,admin,,,,,,,,,,
27,28,11,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,5,3,,test,2025-05-09 10:32:37.194139+00:00,site_manager_test_user,,,,,,,,,,
28,29,11,3,0.0,0.75,0.0,0,0.0,0,0.0,0,660 L,5,3,,test,2025-05-09 10:32:37.194139+00:00,site_manager_test_user,,,,,,,,,,
29,30,11,5,0.0,0.5,0.0,0,0.0,0,0.0,0,1100 L,5,3,,test,2025-05-09 10:32:37.194139+00:00,site_manager_test_user,,,,,,,,,,
30,31,12,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
31,32,12,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
32,33,12,3,0.0,0.0,0.25,0,0.0,0,0.0,0,660 L,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
33,34,12,4,0.0,0.0,0.25,0,0.0,0,0.0,0,770 L,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
34,35,12,6,0.0,0.0,0.0,1,0.0,0,0.0,0,Fässer 60 L,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
35,36,12,8,0.0,0.0,0.0,0,0.25,0,0.0,0,Tankpaletten,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
36,37,12,9,0.0,0.0,0.0,0,0.0,1,0.0,0,Altöltank,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
37,38,12,10,0.0,0.0,0.0,0,0.0,0,0.25,0,ASP,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
38,39,12,11,0.0,0.0,0.0,0,0.0,0,0.0,1,ASF,1,3,,,2025-05-09 10:38:07.707978+00:00,site_manager_test_user,,,,,,,,,,
39,40,13,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,2,3,,,2025-05-09 10:39:31.370912+00:00,site_manager_test_user,,,,,,,,,,
40,41,14,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,1,3,,,2025-05-09 10:40:05.030860+00:00,site_manager_test_user,,,,,,,,,,
41,42,15,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,3,,,2025-05-09 10:43:44.405297+00:00,site_manager_test_user,,,,,,,,,,
42,43,16,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,3,,,2025-05-09 10:44:24.001364+00:00,site_manager_test_user,,,,,,,,,,
43,44,16,3,0.0,1.5,0.0,0,0.0,0,0.0,0,660 L,2,3,,,2025-05-09 10:44:24.001364+00:00,site_manager_test_user,,,,,,,,,,
44,45,17,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,6,3,,,2025-05-09 11:19:02.291080+00:00,site_manager_test_user,,,,,,,,,,
45,46,17,3,0.0,0.5,0.0,0,0.0,0,0.0,0,660 L,6,3,,,2025-05-09 11:19:02.291080+00:00,site_manager_test_user,,,,,,,,,,
46,47,27,4,0.0,0.5,0.0,0,0.0,0,0.0,0,770 L,4,1,,,2025-05-09 13:10:43.427898+00:00,admin,,,,,,,,,,
47,48,27,5,0.0,0.5,0.0,0,0.0,0,0.0,0,1100 L,4,1,,,2025-05-09 13:10:43.427898+00:00,admin,,,,,,,,,,
48,49,28,4,0.0,0.75,0.0,0,0.0,0,0.0,0,770 L,2,1,,,2025-05-09 13:20:44.283006+00:00,admin,,,,,,,,,,
49,50,29,1,0.0,1.0,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 13:21:33.248067+00:00,admin,,,,,,,,,,
50,51,30,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,4,1,,,2025-05-09 13:24:14.221759+00:00,admin,,,,,,,,,,
51,52,31,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,3,1,,,2025-05-09 13:24:53.757852+00:00,admin,,,,,,,,,,
52,53,31,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,3,1,,,2025-05-09 13:24:53.757852+00:00,admin,,,,,,,,,,
53,54,31,6,0.0,0.0,0.25,0,0.0,0,0.0,0,Fässer 60 L,3,1,,,2025-05-09 13:24:53.757852+00:00,admin,,,,,,,,,,
54,55,33,1,0.0,0.0,0.0,1,0.0,0,0.0,0,120 L,4,1,,,2025-05-09 13:26:35.380073+00:00,admin,,,,,,,,,,
55,56,34,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,4,1,,,2025-05-09 13:29:00.749816+00:00,admin,,,,,,,,,,
56,57,35,2,0.0,0.0,0.25,0,0.0,0,0.0,0,240 L,3,1,,test,2025-05-09 13:35:34.025097+00:00,admin,,,,,,,,,,
57,58,37,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 13:38:34.214863+00:00,admin,,,,,,,,,,
58,59,40,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-09 13:47:25.864391+00:00,admin,,,,,,,,,,
59,60,41,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 13:47:57.053319+00:00,admin,,,,,,,,,,
60,61,43,1,0.0,0.0,0.25,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 13:52:02.457200+00:00,admin,,,,,,,,,,
61,62,45,11,0.0,0.0,0.0,1,0.0,0,0.0,0,ASF,2,1,,,2025-05-09 13:53:56.695248+00:00,admin,,,,,,,,,,
62,63,46,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,4,1,,,2025-05-09 13:56:38.921525+00:00,admin,,,,,,,,,,
63,64,46,10,0.0,0.0,0.25,0,0.0,0,0.0,0,ASP,4,1,,,2025-05-09 13:56:38.921525+00:00,admin,,,,,,,,,,
64,65,46,11,0.0,0.0,0.25,0,0.0,0,0.0,0,ASF,4,1,,,2025-05-09 13:56:38.921525+00:00,admin,,,,,,,,,,
65,66,47,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 13:57:48.658882+00:00,admin,,,,,,,,,,
66,67,47,8,0.0,0.25,0.0,0,0.0,0,0.0,0,Tankpaletten,3,1,,,2025-05-09 13:57:48.658882+00:00,admin,,,,,,,,,,
67,68,60,7,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 200 L,3,1,,,2025-05-13 07:15:13.507507+00:00,admin,,,,,,,,,,
68,69,60,8,0.0,0.25,0.0,0,0.0,0,0.0,0,Tankpaletten,3,1,,,2025-05-13 07:15:13.507507+00:00,admin,,,,,,,,,,
69,70,61,3,0.0,0.5,0.0,0,0.0,0,0.0,0,660 L,3,1,,,2025-05-13 07:15:44.392764+00:00,admin,,,,,,,,,,
70,71,61,5,0.0,0.0,0.5,0,0.0,0,0.0,0,1100 L,3,1,,,2025-05-13 07:15:44.392764+00:00,admin,,,,,,,,,,
71,72,62,2,0.0,0.0,0.5,0,0.0,0,0.0,0,240 L,4,1,,,2025-05-13 07:16:31.266908+00:00,admin,,,,,,,,,,
72,73,63,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,4,1,,,2025-05-13 07:16:52.884822+00:00,admin,,,,,,,,,,
73,74,64,1,0.0,0.0,0.75,0,0.0,0,0.0,0,120 L,6,1,,,2025-05-13 07:17:33.782869+00:00,admin,,,,,,,,,,
74,75,86,1,0.0,0.0,0.5,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-13 07:54:23.112929+00:00,admin,,,,,,,,,,
75,76,86,3,0.0,0.0,0.75,0,0.0,0,0.0,0,660 L,2,1,,,2025-05-13 07:54:23.112929+00:00,admin,,,,,,,,,,
76,77,86,5,0.0,0.0,0.5,0,0.0,0,0.0,0,1100 L,2,1,,,2025-05-13 07:54:23.112929+00:00,admin,,,,,,,,,,
77,78,86,9,0.0,0.0,0.25,0,0.0,0,0.0,0,Altöltank,2,1,,,2025-05-13 07:54:23.112929+00:00,admin,,,,,,,,,,
78,79,86,10,0.0,0.0,0.25,0,0.0,0,0.0,0,ASP,2,1,,,2025-05-13 07:54:23.112929+00:00,admin,,,,,,,,,,
79,80,86,11,0.0,0.0,0.25,0,0.0,0,0.0,0,ASF,2,1,,,2025-05-13 07:54:23.112929+00:00,admin,,,,,,,,,,
80,81,89,6,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 60 L,1,1,,dfg,2025-05-13 08:11:07.590004+00:00,admin,,,,,,,,,,
81,82,89,7,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 200 L,1,1,,dfg,2025-05-13 08:11:07.590004+00:00,admin,,,,,,,,,,
82,83,89,8,0.0,0.25,0.0,0,0.0,0,0.0,0,Tankpaletten,1,1,,dfg,2025-05-13 08:11:07.590004+00:00,admin,,,,,,,,,,
83,84,89,9,0.0,0.25,0.0,0,0.0,0,0.0,0,Altöltank,1,1,,dfg,2025-05-13 08:11:07.590004+00:00,admin,,,,,,,,,,
84,85,91,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,1,,test,2025-05-13 08:40:11.646247+00:00,admin,,,,,,,,,,
85,86,91,6,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 60 L,2,1,,test,2025-05-13 08:40:11.646247+00:00,admin,,,,,,,,,,
86,87,91,7,0.0,0.25,0.0,0,0.0,0,0.0,0,Fässer 200 L,2,1,,test,2025-05-13 08:40:11.646247+00:00,admin,,,,,,,,,,
87,88,91,8,0.0,0.25,0.0,0,0.0,0,0.0,0,Tankpaletten,2,1,,test,2025-05-13 08:40:11.646247+00:00,admin,,,,,,,,,,
88,89,93,1,0.0,0.0,0.75,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-13 08:52:05.985581+00:00,admin,,,,,,,,,,
89,90,102,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,8,1,,test,2025-05-13 09:14:03.216562+00:00,admin,,,,,,,,,,
90,91,102,3,0.0,0.75,0.0,0,0.0,0,0.0,0,660 L,8,1,,test,2025-05-13 09:14:03.216562+00:00,admin,,,,,,,,,,
91,92,102,9,0.0,0.5,0.0,0,0.0,0,0.0,0,Altöltank,8,1,,test,2025-05-13 09:14:03.216562+00:00,admin,,,,,,,,,,
92,93,102,10,0.0,0.5,0.0,0,0.0,0,0.0,0,ASP,8,1,,test,2025-05-13 09:14:03.216562+00:00,admin,,,,,,,,,,
93,94,102,11,0.0,0.5,0.0,0,0.0,0,0.0,0,ASF,8,1,,test,2025-05-13 09:14:03.216562+00:00,admin,,,,,,,,,,
94,95,104,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-13 13:14:52.757229+00:00,admin,,,,,,,,,,
95,96,108,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-13 13:25:09.001039+00:00,admin,,,,,,,,,,
96,97,114,1,0.0,9.75,0.0,0,0.0,0,0.0,0,120 L,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
97,98,114,2,0.0,10.0,0.0,0,0.0,0,0.0,0,240 L,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
98,99,114,3,0.0,10.0,0.0,0,0.0,0,0.0,0,660 L,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
99,100,114,5,0.0,10.0,0.0,0,0.0,0,0.0,0,1100 L,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
100,101,114,6,0.0,10.0,0.0,0,0.0,0,0.0,0,Fässer 60 L,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
101,102,114,8,0.0,10.0,0.0,0,0.0,0,0.0,0,Tankpaletten,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
102,103,114,10,0.0,10.0,0.0,0,0.0,0,0.0,0,ASP,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
103,104,114,11,0.0,10.0,0.0,0,0.0,0,0.0,0,ASF,2,1,,test,2025-05-14 07:57:20.322315+00:00,admin,,,,,,,,,,
104,105,119,4,0.0,0.5,0.0,0,0.0,0,0.0,0,770 L,2,1,,,2025-05-14 08:56:35.098603+00:00,admin,,,,,,,,,,
105,106,120,2,0.0,0.75,0.0,0,0.0,0,0.0,0,240 L,3,1,,,2025-05-14 09:40:13.835708+00:00,admin,,,,,,,,,,
106,107,127,1,0.0,0.75,0.5,3,0.5,2,0.0,0,120 L,4,1,,tes,2025-05-14 13:47:33.678154+00:00,admin,,,,,,,,,,
107,108,128,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,3,3,,,2025-05-15 09:04:11.534455+00:00,site_manager_test_user,,,,,,,,,,
108,109,129,2,0.0,0.75,0.0,0,0.0,0,0.0,0,240 L,4,3,,test,2025-05-15 10:47:31.131159+00:00,site_manager_test_user,,,,,,,,,,
109,110,130,2,0.0,0.75,0.0,0,0.0,0,0.0,0,240 L,2,1,,,2025-05-15 11:32:15.623127+00:00,admin,,,,,,,,,,
110,111,140,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-15 14:57:42.701560+00:00,admin,,,,,,,,,,
111,112,141,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,3,1,,Test,2025-05-15 14:59:48.390439+00:00,admin,,,,,,,,,,
112,113,142,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-15 15:00:21.845620+00:00,admin,,,,,,,,,,
113,114,148,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-15 15:10:09.051123+00:00,admin,,,,,,,,,,
114,115,150,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-15 15:20:58.666267+00:00,admin,,,,,,,,,,
115,116,150,2,0.0,0.75,0.0,0,0.0,0,0.0,0,240 L,2,1,,,2025-05-15 15:20:58.666267+00:00,admin,,,,,,,,,,
116,117,150,3,0.0,0.75,0.0,0,0.0,0,0.0,0,660 L,2,1,,,2025-05-15 15:20:58.666267+00:00,admin,,,,,,,,,,
117,118,150,4,0.0,0.5,0.0,0,0.0,0,0.0,0,770 L,2,1,,,2025-05-15 15:20:58.666267+00:00,admin,,,,,,,,,,
118,119,152,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-15 15:25:54.573222+00:00,admin,,,,,,,,,,
119,120,153,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-15 15:28:36.168886+00:00,admin,,,,,,,,,,
120,121,155,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,2,1,,,2025-05-16 06:30:12.232641+00:00,admin,,,,,,,,,,
121,122,155,4,0.0,0.25,0.0,0,0.0,0,0.0,0,770 L,2,1,,,2025-05-16 06:30:12.232641+00:00,admin,,,,,,,,,,
122,123,156,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,4,1,,,2025-05-16 06:36:39.880104+00:00,admin,,,,,,,,,,
123,124,156,2,0.0,0.5,0.0,0,0.0,0,0.0,0,240 L,4,1,,,2025-05-16 06:36:39.880104+00:00,admin,,,,,,,,,,
124,125,158,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-16 06:47:33.137458+00:00,admin,,,,,,,,,,
125,126,158,2,0.0,0.5,0.0,0,0.0,0,0.0,0,240 L,2,1,,,2025-05-16 06:47:33.137458+00:00,admin,,,,,,,,,,
126,127,158,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,2,1,,,2025-05-16 06:47:33.137458+00:00,admin,,,,,,,,,,
127,128,159,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-16 07:00:21.888437+00:00,admin,,,,,,,,,,
128,129,170,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,1,1,2.0,,2025-05-16 08:41:40.824801+00:00,admin,151.0,4.0,2.0,0 days 00:15:00,Linde 4,Umladehalle/Freigelände,A0161612,1.0,Kübelwaschplatz,2025-05-16 08:41:40.822803+00:00
129,130,172,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,3,1,9.0,test,2025-05-16 09:05:42.459272+00:00,admin,158.0,9.0,1.0,0 days 00:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:05:42.456134+00:00
130,131,172,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,3,1,9.0,test,2025-05-16 09:05:42.459272+00:00,admin,158.0,9.0,1.0,0 days 00:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:05:42.456134+00:00
131,132,172,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,3,1,9.0,test,2025-05-16 09:05:42.459272+00:00,admin,158.0,9.0,1.0,0 days 00:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:05:42.456134+00:00
132,133,172,4,0.0,0.25,0.0,0,0.0,0,0.0,0,770 L,3,1,9.0,test,2025-05-16 09:05:42.459272+00:00,admin,158.0,9.0,1.0,0 days 00:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:05:42.456134+00:00
133,134,172,5,0.0,0.25,0.0,0,0.0,0,0.0,0,1100 L,3,1,9.0,test,2025-05-16 09:05:42.459272+00:00,admin,158.0,9.0,1.0,0 days 00:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:05:42.456134+00:00
134,135,176,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,167.0,2.0,1.0,0 days 00:00:00,Linde 2 (Obi),Umladehalle/Freigelände,A0161975,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
135,135,176,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,168.0,6.0,0.0,0 days 23:00:00,Radlader 924 G,Umladehalle/Freigelände,A0161969,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
136,135,176,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,169.0,8.0,0.0,0 days 22:45:00,Bagger M322C,Umladehalle/Freigelände,A0161971,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
137,135,176,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,170.0,9.0,0.0,0 days 09:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
138,136,176,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,167.0,2.0,1.0,0 days 00:00:00,Linde 2 (Obi),Umladehalle/Freigelände,A0161975,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
139,136,176,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,168.0,6.0,0.0,0 days 23:00:00,Radlader 924 G,Umladehalle/Freigelände,A0161969,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
140,136,176,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,169.0,8.0,0.0,0 days 22:45:00,Bagger M322C,Umladehalle/Freigelände,A0161971,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
141,136,176,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,170.0,9.0,0.0,0 days 09:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
142,137,176,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,167.0,2.0,1.0,0 days 00:00:00,Linde 2 (Obi),Umladehalle/Freigelände,A0161975,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
143,137,176,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,168.0,6.0,0.0,0 days 23:00:00,Radlader 924 G,Umladehalle/Freigelände,A0161969,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
144,137,176,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,169.0,8.0,0.0,0 days 22:45:00,Bagger M322C,Umladehalle/Freigelände,A0161971,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
145,137,176,3,0.0,0.25,0.0,0,0.0,0,0.0,0,660 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,170.0,9.0,0.0,0 days 09:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
146,138,176,4,0.0,0.25,0.0,3,0.0,2,0.5,3,770 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,167.0,2.0,1.0,0 days 00:00:00,Linde 2 (Obi),Umladehalle/Freigelände,A0161975,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
147,138,176,4,0.0,0.25,0.0,3,0.0,2,0.5,3,770 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,168.0,6.0,0.0,0 days 23:00:00,Radlader 924 G,Umladehalle/Freigelände,A0161969,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
148,138,176,4,0.0,0.25,0.0,3,0.0,2,0.5,3,770 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,169.0,8.0,0.0,0 days 22:45:00,Bagger M322C,Umladehalle/Freigelände,A0161971,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
149,138,176,4,0.0,0.25,0.0,3,0.0,2,0.5,3,770 L,4,1,16.0,refactoring - test,2025-05-16 09:20:14.247833+00:00,admin,170.0,9.0,0.0,0 days 09:45:00,Radlader 928M,Umladehalle/Freigelände,A0161946,1.0,Kübelwaschplatz,2025-05-16 09:20:14.237829+00:00
